subject,predicate,object,chunk
2024 form 10-k,includes,exhibit 104,186
exhibit 104,is,inline xbrl for cover page,186
report,signed by,luca maestri,186
luca maestri,is chief financial officer at,apple inc.,186
report,signing date is,"november 1, 2024",186
apple inc.,has chief financial officer,luca maestri,187
apple inc.,has senior vice president,luca maestri,187
apple inc.,has chief executive officer,timothy d. cook,187
apple inc.,has director,timothy d. cook,187
apple inc.,has senior director of corporate accounting,chris kondo,187
apple inc.,has director,wanda austin,187
luca maestri,holds title,principal financial officer,187
timothy d. cook,holds title,principal executive officer,187
chris kondo,holds title,principal accounting officer,187
annual report on form 10-k,filed with,securities and exchange commission,187
luca maestri,has role,senior director of corporate accounting,188
chris kondo,has role,principal accounting officer,188
wanda austin,has role,director,188
alex gorsky,has role,director,188
andrea jung,has role,director,188
arthur d. levinson,has role,director and chair of the board,188
monica lozano,has role,director,188
ronald d. sugar,has role,director,188
susan l. wagner,has role,director,188
apple inc.,filed,2024 form 10-k,188
